"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.525249962E-3,-3.610820347E-2,4.722284451E-3,-6.375570059E-2,7.342269190E-2
1.248725003E-2,3.581415247E-2,-6.042786743E-3,1.465627992E-1,1.509961023E-1
2.245024999E-2,-3.305922083E-3,1.469313931E-2,-5.226826072E-3,1.594168041E-2
3.241225006E-2,4.989154114E-2,2.383246528E-2,5.031061292E-2,7.475500017E-2
4.237525002E-2,1.336862619E-2,1.503569478E-2,-1.001452625E-2,2.247405214E-2
5.233724997E-2,2.845642515E-2,2.304594168E-2,1.917243540E-2,4.133359214E-2
6.230025005E-2,1.418794444E-2,1.071215389E-2,5.569355965E-2,5.846212958E-2
7.226225000E-2,-2.311794923E-3,9.677397721E-3,3.069145024E-2,3.226393560E-2
8.222524996E-2,-3.503772675E-3,9.789828714E-3,3.847175539E-2,3.985214087E-2
9.218725003E-2,-7.952660965E-3,-2.672798820E-3,-3.053708375E-2,3.166863043E-2
1.021502500E-1,-1.295506816E-2,-6.112606153E-3,8.829880357E-3,1.682749334E-2
1.121122501E-1,-1.883335171E-2,-6.556939725E-3,2.989096642E-3,2.016490253E-2
1.220752500E-1,-2.040772823E-2,-3.309710439E-2,3.846590817E-2,5.469478752E-2
1.320372500E-1,-3.235132630E-2,-3.881184407E-2,-1.803281307E-3,5.055906819E-2
1.419992500E-1,-7.058742747E-3,-2.432432575E-2,-6.443046927E-3,2.613448921E-2
1.519622500E-1,-1.239540511E-2,-2.854795234E-2,-1.751884282E-2,3.571472392E-2
1.619242500E-1,-1.777176687E-3,-1.431906369E-2,-7.037124038E-3,1.605350605E-2
1.718872500E-1,5.857955343E-3,-7.736907844E-3,3.308354616E-2,3.447747686E-2
1.818492500E-1,-3.188214891E-3,-3.098128941E-3,4.386581182E-2,4.409050424E-2
1.918122501E-1,1.885110806E-2,1.346275723E-2,2.635340095E-2,3.508720349E-2
2.017742500E-1,4.389696652E-3,2.258624090E-2,3.188779056E-2,3.932224436E-2
2.117372500E-1,1.471997255E-2,3.368336085E-2,5.691679716E-3,3.719733335E-2
2.216992500E-1,2.202683595E-2,2.341669170E-2,-2.089794874E-3,3.221630325E-2
2.316622500E-1,1.679067717E-2,4.929677881E-3,4.625673831E-2,4.945618670E-2
2.416242500E-1,-1.152926345E-2,-1.372706965E-3,2.081024051E-2,2.383011435E-2
2.515872500E-1,-3.004147512E-2,3.327906244E-2,-1.124828875E-2,4.622239959E-2
2.615492500E-1,-1.219426226E0,1.450620748E-1,-1.566603559E-1,1.237976492E0
2.715122501E-1,-5.353203698E0,2.617018941E-1,2.525774968E-1,5.365544996E0
2.814742500E-1,-6.223226702E0,5.559253438E-1,6.277687669E-2,6.248323336E0
2.914372500E-1,-4.638649387E0,1.180640256E0,-4.709990680E-2,4.786773229E0
3.013992500E-1,-3.496562162E0,1.702735510E0,-1.323137194E-1,3.891370208E0
3.113622500E-1,-3.123023608E0,1.409457884E0,9.519033194E-2,3.427668184E0
3.213242500E-1,-2.728822455E0,5.632757324E-1,2.257335144E-1,2.795479773E0
3.312872500E-1,-1.552407251E0,-5.534346857E-1,-3.428386259E-1,1.683388412E0
