"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.921920000E-1,1.235627326E0,-3.133064446E0,1.126173735E-3,3.367917603E0
6.021550000E-1,1.365927849E0,-2.696748138E0,6.151563227E-2,3.023572983E0
6.121179999E-1,1.438994071E0,-2.073255440E0,2.147331476E-2,2.523797369E0
6.220800000E-1,1.228118039E0,-1.400504335E0,9.445299804E-2,1.865102593E0
6.320430000E-1,1.131380095E0,-1.044671515E0,-7.775276542E-2,1.541883584E0
6.420049999E-1,1.277604926E0,-7.147667111E-1,2.390786147E-1,1.483349042E0
6.519680000E-1,9.145938443E-1,-7.508378191E-1,-4.812258482E-4,1.183317186E0
6.619299999E-1,4.693198939E-1,-6.726639810E-1,2.730357349E-2,8.206603922E-1
6.718929999E-1,-6.993406964E-3,-7.518841052E-1,1.479000574E-1,7.663243715E-1
6.818550000E-1,-5.584442512E-1,-9.230205591E-1,-7.907599032E-2,1.081702337E0
6.918179999E-1,-7.239263745E-1,-9.727394338E-1,5.216008723E-2,1.213677089E0
7.017800000E-1,-7.692555982E-1,-1.001194178E0,7.292588890E-2,1.264698439E0
7.117430000E-1,-1.101062794E0,-1.023785919E0,-2.590199590E-2,1.503711341E0
7.217049999E-1,-1.186004126E0,-1.069764330E0,1.276482260E-1,1.602278246E0
7.316680000E-1,-6.817465342E-1,-1.053431448E0,-1.757789969E-2,1.254912402E0
7.416299999E-1,-6.405281954E-1,-1.136769474E0,4.377634943E-2,1.305541104E0
7.515929999E-1,-4.199638389E-1,-1.168509988E0,-5.543160439E-4,1.241686565E0
7.615560000E-1,3.141206110E-1,-1.028780976E0,8.126460314E-3,1.075698886E0
7.715179999E-1,1.010298585E0,-8.968778772E-1,1.344543850E-1,1.357634391E0
7.814810000E-1,1.572183265E0,-1.020631931E0,-2.360579431E-2,1.874568481E0
7.914430000E-1,1.597658414E0,-1.170760947E0,1.564703214E-1,1.986876082E0
8.014059999E-1,1.017273071E0,-1.365262874E0,-1.174571139E-1,1.706629248E0
8.113680000E-1,5.073622078E-1,-1.491576035E0,1.120320672E-1,1.579483036E0
8.213310000E-1,-1.592552406E-1,-2.057123703E0,-3.058269203E-2,2.063505624E0
8.312929999E-1,-8.532126980E-1,-2.285642831E0,2.582259071E-1,2.453327470E0
8.412560000E-1,-1.500152146E0,-2.257189110E0,-8.306379139E-2,2.711504884E0
8.512179999E-1,-1.255248974E0,-1.766635199E0,1.072502142E-1,2.169827763E0
8.611810000E-1,-1.445335669E0,-1.258303559E0,2.158131284E-1,1.928444541E0
8.711430000E-1,-1.380421050E0,-6.603108609E-1,-1.331931406E-1,1.536005573E0
8.811059999E-1,-1.314962933E0,-5.340179829E-3,1.410360110E-1,1.322515477E0
8.910680000E-1,-9.512229227E-1,-1.159955109E-1,-3.547616833E-1,1.021829663E0
9.010310000E-1,8.161779324E-2,-1.268912309E0,4.234448326E-1,1.340188583E0
9.109939999E-1,2.498140442E0,-1.449135774E0,4.264011848E-1,2.919335220E0
9.209560000E-1,3.355585501E0,-2.937705756E0,-1.086898572E0,4.590361387E0
9.309189999E-1,2.167644119E0,-3.301984659E0,7.859435517E-1,4.027342918E0
9.408809999E-1,1.138386741E0,-2.848145415E0,6.382183260E-1,3.132918657E0
9.508440000E-1,1.194414396E0,-2.294343634E0,-9.362725425E-1,2.750862544E0
9.608059999E-1,3.495312028E-1,-1.331231933E0,4.331810313E-1,1.442912446E0
9.707690000E-1,-1.887202191E-1,-1.185188878E0,2.644759959E-1,1.228916413E0
9.807310000E-1,-4.512936224E-1,-1.564595333E0,-5.281819135E-1,1.711899712E0
9.906939999E-1,-1.853209512E0,-1.338052856E0,5.640417176E-1,2.354339398E0
1.000656000E0,-1.836908060E0,-1.119688880E0,-3.303261691E-1,2.176476461E0
1.010619000E0,-2.141562613E0,-1.136683593E0,2.693438029E-1,2.439443810E0
1.020581000E0,-1.760215394E0,-1.335328639E0,1.755673277E-1,2.216367455E0
1.030544000E0,-9.390474848E-1,-1.835161496E0,-8.937352180E-2,2.063399022E0
1.040507000E0,-8.448771997E-1,-2.115422928E0,2.442393672E-1,2.290957118E0
1.050469000E0,6.221647223E-1,-2.336750127E0,-1.249281013E-1,2.421383309E0
1.060432000E0,1.473989218E0,-2.314115117E0,1.964459807E-1,2.750702458E0
1.070394000E0,1.745792068E0,-2.161578802E0,-1.752001226E-2,2.778582338E0
1.080357000E0,1.619435053E0,-2.391731350E0,6.287861824E-2,2.889100632E0
1.090319000E0,1.095758638E0,-2.548213658E0,1.702925545E-1,2.779042892E0
1.100282000E0,1.198076434E0,-2.955506142E0,-1.609106970E-1,3.193163940E0
1.110244000E0,1.657154856E0,-3.247404410E0,1.955735761E-1,3.651033640E0
1.120207000E0,1.903572604E0,-3.144216256E0,3.055871844E-2,3.675679306E0
1.130169000E0,1.824055880E0,-2.581945660E0,1.886832172E-1,3.166895104E0
1.140132000E0,2.186814654E0,-2.184134729E0,2.333325559E-1,3.099523661E0
1.150094000E0,3.669369312E0,-1.341318965E0,-5.064507365E-1,3.939530437E0
1.160057000E0,4.395409016E0,-5.125773029E-1,4.179063499E-1,4.444884884E0
1.170019000E0,4.587943502E0,-4.474659254E-1,8.556523025E-2,4.610506777E0
1.179982000E0,4.303435238E0,-1.695826294E-1,-2.609214735E-1,4.314671845E0
1.189944000E0,3.245354376E0,1.906187735E-1,4.205399358E-1,3.278035140E0
1.199907000E0,1.789922174E0,2.372076153E-1,-1.903496736E-1,1.815577550E0
1.209870000E0,-1.831632629E-1,5.252505581E-1,-5.635838807E-2,5.591182322E-1
1.219832000E0,1.542195088E-1,6.588889642E-1,1.517089337E-1,6.934939975E-1
1.229795000E0,4.627464083E-2,5.151867325E-1,-1.362974274E-1,5.349165360E-1
