"Time (s)","Linear Acceleration x (m/s2)","Linear Acceleration y (m/s2)","Linear Acceleration z (m/s2)","Absolute acceleration (m/s2)"
5.930318750E-1,-1.391383556E0,-1.965212051E0,2.295704573E-1,2.418823929E0
6.029948749E-1,-1.012659983E0,-2.189657131E0,2.565764076E-1,2.426089456E0
6.129568750E-1,-1.522404822E-1,-2.482542994E0,-2.039865500E-1,2.495557532E0
6.229198750E-1,1.805269909E-1,-2.650337033E0,-2.054401678E-1,2.664410262E0
6.328818749E-1,-7.631723743E-2,-2.589192992E0,4.396082908E-1,2.627356108E0
6.428438750E-1,-2.492197058E-2,-2.823783284E0,3.756251335E-3,2.823895757E0
6.528068749E-1,-6.538994255E-2,-2.996639842E0,-4.814246535E-2,2.997739796E0
6.627688750E-1,5.271568235E-2,-3.018870664E0,6.013685882E-2,3.019929713E0
6.727318750E-1,-2.852147542E-1,-2.957162366E0,1.823196924E-1,2.976473951E0
6.826938749E-1,-1.014634990E-1,-2.742856649E0,2.166323233E-1,2.753268422E0
6.926568750E-1,4.644832233E-1,-2.457071061E0,-1.940685028E-1,2.508107942E0
7.026188750E-1,9.131029505E-1,-2.326043583E0,-7.828778565E-2,2.500072944E0
7.125818749E-1,1.214309401E0,-2.372709772E0,2.423916471E-1,2.676387994E0
7.225438750E-1,1.122295788E0,-2.278714611E0,3.242976898E-1,2.560714179E0
7.325068749E-1,1.456666549E0,-1.656727571E0,2.234665489E-1,2.217331951E0
7.424688750E-1,1.830454488E0,-1.171108344E0,-3.162419808E-1,2.195920622E0
7.524318750E-1,1.700379813E0,-7.068486310E-1,-2.607665223E-1,1.859818721E0
7.623938749E-1,1.048549900E0,-2.706738800E-1,3.940345073E-1,1.152382070E0
7.723568750E-1,5.464193060E-1,-7.878958639E-2,3.513135803E-1,6.543722859E-1
7.823188750E-1,9.593373962E-1,-1.796595016E-1,-5.377444500E-1,1.114349528E0
7.922818749E-1,4.147242951E-1,1.172128099E-1,2.877999544E-3,4.309795432E-1
8.022438750E-1,-5.253480604E-1,2.297618075E-1,4.873771191E-1,7.525407158E-1
8.122058749E-1,-4.124703397E-1,-1.342687268E-1,-4.738332134E-1,6.424000205E-1
8.221688749E-1,-9.482871088E-1,-1.544881336E-1,-1.162952721E-2,9.608591313E-1
8.321308750E-1,-1.457054951E0,-2.253720286E-1,4.695910585E-1,1.547358214E0
8.420938749E-1,-1.538137121E0,-5.336574290E-1,-3.047989798E-1,1.656369063E0
8.520558750E-1,-1.971209248E0,-6.405417171E-1,-5.470479548E-2,2.073391474E0
8.620188750E-1,-2.312441351E0,-7.640802276E-1,4.290762860E-1,2.472915295E0
8.719808749E-1,-1.884867507E0,-1.066147096E0,-1.342491478E-1,2.169658495E0
8.819438750E-1,-1.297325976E0,-1.275919173E0,-1.470071876E-1,1.825550749E0
8.919058749E-1,-7.132451925E-1,-1.618347763E0,3.228750622E-1,1.797780991E0
9.018688749E-1,-1.730858791E-1,-1.930088704E0,2.189957678E-1,1.950169293E0
9.118308750E-1,1.278962759E-1,-2.139202823E0,-3.825225091E-1,2.176894496E0
9.217938749E-1,5.206157261E-1,-2.177597834E0,-4.560009599E-2,2.239431274E0
9.317558750E-1,-3.650866237E-1,-1.740016627E0,5.073786896E-1,1.848885945E0
9.417188750E-1,-3.008594182E-1,-1.548875678E0,1.219565463E-1,1.582531408E0
