"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.666166703E-3,-1.082933741E-3,-1.624734723E-3,1.119274180E-3,2.250618381E-3
1.162916666E-2,-1.129538985E-3,1.277045812E-3,9.080854943E-4,1.931663426E-3
2.159150003E-2,-1.549019944E-3,-2.194200410E-3,-1.919202041E-3,3.301108101E-3
3.155449999E-2,2.752454020E-4,3.589386353E-3,-1.865672413E-3,4.054650167E-3
4.151650006E-2,-2.183411736E-3,-3.950543236E-3,-1.403112896E-3,4.726817583E-3
5.147950002E-2,-3.266558051E-4,1.927319448E-3,-5.668804515E-4,2.035342162E-3
6.144149997E-2,-1.060443930E-3,-3.379352624E-3,6.362429122E-4,3.598523382E-3
7.140450005E-2,2.238680143E-3,2.089182613E-3,1.335588982E-3,3.340684167E-3
8.136650000E-2,5.317281466E-4,-3.537217621E-3,-7.541733794E-5,3.577755035E-3
9.132950008E-2,1.312833279E-3,3.170485841E-3,-2.847418655E-4,3.443339893E-3
1.012915000E-1,-7.338263094E-4,-3.457337618E-3,-1.062271884E-3,3.690542780E-3
1.112545000E-1,6.960248575E-4,2.227445832E-3,-1.940582413E-3,3.035098950E-3
1.212165001E-1,-1.082368195E-3,-3.542395309E-3,1.241990598E-3,3.906741107E-3
1.311795000E-1,-3.963382915E-4,8.062804118E-4,-1.286414685E-3,1.569087278E-3
1.411415000E-1,-1.877621049E-3,-8.755874587E-4,-1.658115070E-4,2.078366584E-3
1.511045001E-1,1.423367066E-3,6.024725735E-5,-1.161833527E-3,1.838330950E-3
1.610665000E-1,8.246344514E-4,1.886356622E-4,1.319950446E-3,1.567761006E-3
1.710295001E-1,8.541955613E-4,-6.912727840E-4,1.092782710E-3,1.549736161E-3
1.809915000E-1,1.663821749E-4,1.100998372E-3,6.866839249E-4,1.308210708E-3
1.909545000E-1,6.830354687E-4,-1.067347242E-3,-4.467575345E-4,1.343636812E-3
2.009165001E-1,-9.136439767E-4,-1.630917424E-3,1.307915896E-3,2.281508482E-3
2.108795000E-1,-6.505234633E-4,5.446188152E-4,1.276028343E-4,8.579469176E-4
