"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.278520830E-2,-2.687214490E-2,5.739371069E-3,9.465414226E-2,9.856195615E-2
2.274720825E-2,-3.123253239E-2,2.542550264E-2,4.675082803E-2,6.170548748E-2
3.270920832E-2,2.820750963E-2,4.479420349E-2,1.272722501E-1,1.378419744E-1
4.267120827E-2,-5.114419746E-2,6.482342044E-2,-1.523626524E-1,1.732979591E-1
5.263320834E-2,2.638655192E-2,2.807639267E-2,1.235148293E-1,1.293848793E-1
6.259520829E-2,-1.537191653E-2,3.624935662E-2,-4.116205931E-2,5.696162568E-2
7.255720824E-2,1.024581903E-2,7.368387077E-3,4.236775517E-2,4.420742714E-2
8.251920831E-2,2.316260277E-3,-2.824493866E-2,-8.801521361E-2,9.246523373E-2
9.248120827E-2,3.754507449E-3,-3.430716740E-2,-6.877495050E-3,3.519059533E-2
1.024422083E-1,1.161371803E-2,-5.191804904E-2,3.653515756E-2,6.453820575E-2
1.124042083E-1,8.366462250E-3,-4.758301472E-2,-3.979731917E-2,6.259367056E-2
1.223662084E-1,8.886944956E-3,-7.038713749E-2,-3.113057613E-3,7.101421015E-2
1.323282083E-1,3.895939261E-3,-6.001388457E-2,-2.661126316E-2,6.576476268E-2
1.422902083E-1,1.132224004E-2,-7.079540106E-2,5.153560460E-2,8.829552917E-2
1.522522083E-1,1.541452469E-2,-4.197599173E-2,2.593824863E-3,4.479195665E-2
1.622142083E-1,1.791996181E-2,-1.389265548E-2,5.888263106E-2,6.309750509E-2
1.721762083E-1,7.477635221E-3,1.142788963E-2,3.103994429E-2,3.391149999E-2
1.821382083E-1,2.625531162E-4,3.344578117E-2,3.567970991E-2,4.890532601E-2
1.921002083E-1,4.504165606E-3,6.466216519E-2,3.926990032E-2,7.578659635E-2
2.020622083E-1,-6.549150480E-3,7.265039368E-2,4.929319739E-2,8.803857327E-2
2.120242083E-1,-8.366840263E-3,7.110881181E-2,5.841660798E-2,9.240653235E-2
2.219862083E-1,-1.298082332E-2,5.131366622E-2,3.954822779E-2,6.607311432E-2
2.319482083E-1,-2.320499509E-5,2.528854989E-2,3.564638078E-2,4.370555750E-2
2.419092084E-1,-3.555038595E-5,-5.839029551E-3,2.905130625E-2,2.963231217E-2
2.518712083E-1,-7.874405348E-3,-2.458392385E-2,1.632016361E-2,3.054051918E-2
2.618332083E-1,5.947587906E-3,-4.693552695E-2,-1.945836425E-2,5.115608890E-2
2.717952083E-1,1.013590851E-3,-8.154152362E-2,-3.053474486E-2,8.707708128E-2
2.817572083E-1,8.510751432E-3,-9.239041099E-2,-2.125170529E-2,9.518432597E-2
2.917192084E-1,3.126453676E-3,-8.205549387E-2,-1.032033563E-2,8.276103017E-2
3.016812083E-1,1.651610243E-2,-7.220041389E-2,-3.141708970E-2,8.045318471E-2
3.116432083E-1,4.155706385E-3,-3.797550950E-2,-2.227555275E-2,4.422227344E-2
3.216052083E-1,2.461051955E-3,-2.075460060E-2,-1.609738469E-3,2.096190546E-2
3.315672083E-1,-6.423656898E-3,4.049671926E-3,2.563945591E-2,2.674032367E-2
3.415292084E-1,8.993893614E-3,2.336987743E-2,5.842537880E-2,6.356544802E-2
3.514912083E-1,7.768186450E-3,4.112710392E-2,6.231436193E-2,7.506572520E-2
3.614532083E-1,7.568879765E-3,4.015460232E-2,3.940964878E-2,5.676971416E-2
3.714152083E-1,4.981333806E-3,4.157394083E-2,4.075041533E-2,5.842775532E-2
3.813772083E-1,-8.702251171E-3,2.315071648E-2,3.251344264E-2,4.085105630E-2
3.913382083E-1,6.581299317E-3,8.027039375E-3,2.741934836E-2,2.931838205E-2
