"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.087620000E-1,-3.077526577E-3,8.323341608E-2,4.625979424E0,4.626729179E0
6.187250001E-1,1.560386457E-2,1.400552392E-1,4.517432213E0,4.519629714E0
6.286880000E-1,-1.156810112E-2,5.454964936E-2,4.372166634E0,4.372522219E0
6.386510001E-1,3.861747449E-3,1.072766706E-1,4.273578644E0,4.274926622E0
6.486130001E-1,-5.471833050E-3,8.357746899E-2,4.163364410E0,4.164206809E0
6.585760000E-1,-1.428290177E-2,4.854491726E-2,4.096157551E0,4.096470101E0
6.685390001E-1,1.331490371E-2,1.258415729E-1,4.110144138E0,4.112091709E0
6.785020001E-1,-1.487704646E-2,4.393256828E-2,4.162897587E0,4.163155980E0
6.884650000E-1,-4.263018258E-3,6.006599963E-2,4.222674370E0,4.223103708E0
6.984280001E-1,2.316149324E-2,1.701754183E-1,4.203335762E0,4.206842956E0
7.083900000E-1,-1.082603633E-2,6.011389568E-2,4.301009178E0,4.301442878E0
7.183530000E-1,2.218521386E-2,1.454672515E-1,4.293540955E0,4.296061782E0
7.283160001E-1,-1.449929550E-2,5.083715171E-2,4.264345646E0,4.264673309E0
7.382790000E-1,1.028991677E-2,1.200229675E-1,4.220369339E0,4.222088198E0
7.482420000E-1,1.009044610E-2,1.022647396E-1,4.007699013E0,4.009016247E0
7.582050001E-1,-4.930596333E-3,6.065478548E-2,3.771083355E0,3.771574338E0
7.681680000E-1,5.221906118E-3,1.046065241E-1,3.887967825E0,3.889378305E0
7.781300000E-1,1.473180717E-3,7.603956759E-2,4.183800220E0,4.184491423E0
7.880930001E-1,7.432536222E-3,1.243802086E-1,4.497330189E0,4.499055957E0
7.980560000E-1,-2.166683227E-2,3.423995897E-2,4.776716232E0,4.776888086E0
8.080190000E-1,2.552810684E-2,1.717935652E-1,4.987338066E0,4.990361279E0
8.179820001E-1,-1.710081287E-2,6.203338504E-2,5.008021355E0,5.008434732E0
8.279450000E-1,1.682998799E-2,1.511227787E-1,5.007110596E0,5.009418914E0
8.379080001E-1,-9.166045114E-3,7.361780852E-2,4.948282242E0,4.948838323E0
8.478700001E-1,1.824214309E-2,1.508950144E-1,5.017795563E0,5.020097050E0
8.578330000E-1,-1.333161257E-3,1.006542444E-1,5.073135853E0,5.074134452E0
8.677960001E-1,-6.129513960E-3,8.456369489E-2,5.192608356E0,5.193300505E0
8.777590001E-1,2.080799080E-3,1.096797511E-1,5.324749470E0,5.325879354E0
8.877220000E-1,1.205684384E-3,1.142585203E-1,5.343434334E0,5.344655924E0
8.976850001E-1,-9.077010676E-3,9.743148088E-2,5.331808567E0,5.332706431E0
9.076480001E-1,1.234252751E-2,1.421131939E-1,5.368225574E0,5.370120512E0
9.176100000E-1,6.253439933E-3,1.152236536E-1,5.352265358E0,5.353509135E0
9.275730001E-1,-1.988122426E-2,7.101543993E-2,5.134197712E0,5.134727315E0
9.375360000E-1,1.482872665E-2,1.302493066E-1,4.911505222E0,4.913254351E0
