"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.646835000E-1,-2.342026399E-2,-2.816603780E-2,3.594217680E-2,5.131933869E-2
6.746455000E-1,-1.830865547E-2,-1.815151155E-2,-1.887777228E-2,3.195394378E-2
6.846075000E-1,-2.092222839E-2,1.446484208E-2,-1.469639182E-2,2.937609964E-2
6.945704999E-1,-1.743400794E-2,2.852564156E-2,-4.159533799E-2,5.336505412E-2
7.045325000E-1,-2.926040359E-2,2.103594303E-2,-5.151634533E-2,6.286983342E-2
7.144945000E-1,-1.414324065E-2,3.151356876E-2,-7.649970710E-2,8.393653233E-2
7.244565000E-1,-3.841033678E-2,3.630711615E-2,-6.894568920E-2,8.687386669E-2
7.344185000E-1,3.650942068E-3,5.038311839E-2,-7.232413732E-2,8.821886893E-2
7.443814999E-1,3.047221620E-3,5.323889852E-2,-5.042993266E-2,7.339512234E-2
7.543435000E-1,5.347644165E-4,3.812793911E-2,-3.158263899E-2,4.951251154E-2
7.643055000E-1,6.156400885E-3,1.089160860E-2,-3.757424433E-2,3.960242728E-2
7.742675000E-1,3.426313056E-3,-2.575698495E-3,1.038984440E-2,1.123933764E-2
7.842295000E-1,7.546809381E-3,-1.110503197E-2,2.380949669E-3,1.363616472E-2
7.941914999E-1,1.466585839E-2,-8.559154272E-3,2.974887908E-2,3.425408487E-2
8.041545000E-1,-6.665949184E-3,-4.358982325E-2,3.893894792E-2,5.882813301E-2
8.141165000E-1,1.237545834E-2,-4.000723422E-2,4.032587092E-2,5.813696436E-2
8.240784999E-1,-1.394388714E-2,-1.666573405E-2,1.297435027E-2,2.530834734E-2
8.340405000E-1,-8.666213136E-3,1.086471140E-2,2.593590975E-2,2.942476200E-2
8.440024999E-1,-3.371627885E-2,-7.776796818E-5,1.680957556E-2,3.767433261E-2
8.539655000E-1,-7.653653543E-3,-1.790183544E-2,-1.816788375E-2,2.662942216E-2
8.639275000E-1,-3.837388761E-2,9.326893687E-3,-4.700576663E-3,3.976985815E-2
8.738894999E-1,-7.819006406E-3,1.994719148E-2,-3.879152499E-2,4.431489276E-2
8.838515000E-1,-2.620901126E-2,3.655796170E-2,-4.500367999E-2,6.362961612E-2
8.938134999E-1,-1.076386521E-2,4.493819118E-2,-7.010577679E-2,8.396500318E-2
9.037755000E-1,-7.846890315E-3,3.131944120E-2,-5.307744227E-2,6.212645140E-2
9.137385000E-1,2.495933337E-2,6.604839385E-2,-5.117190778E-2,8.720047476E-2
9.237004999E-1,-2.027488680E-2,3.522011876E-2,-6.238807339E-2,7.445669548E-2
9.336625000E-1,2.509802659E-2,-1.491975546E-2,-2.464023985E-2,3.820538524E-2
9.436245000E-1,-1.196041110E-2,1.592547655E-2,-3.186502296E-2,3.757727938E-2
9.535865000E-1,2.239509176E-2,-3.230001926E-3,2.042838078E-2,3.048428757E-2
9.635495000E-1,-2.978096567E-3,5.450774431E-3,1.758959413E-2,1.865405646E-2
9.735114999E-1,9.251542264E-3,4.555565715E-3,8.698318005E-3,1.349092100E-2
9.834735000E-1,-3.213932590E-2,-1.715046823E-2,4.690110147E-2,5.938676746E-2
9.934355000E-1,-1.190831606E-2,-3.646616042E-2,3.450990133E-3,3.851620672E-2
1.003397500E0,-2.074913710E-2,-3.183867395E-2,2.136631072E-2,4.359755822E-2
1.013359500E0,-3.737717489E-2,-8.652125001E-3,1.448530734E-2,4.100898192E-2
1.023322500E0,-2.805029034E-2,2.845489025E-2,-9.156154990E-3,4.099188629E-2
1.033284500E0,-3.849213841E-2,4.625732303E-2,-7.022505999E-4,6.018203892E-2
1.043246500E0,-2.065390515E-2,2.170837283E-2,-4.214618225E-2,5.171206752E-2
1.053208500E0,-5.537043703E-3,1.750890255E-2,-1.397835374E-2,2.307845087E-2
1.063170750E0,-2.842413755E-3,1.784570217E-3,-4.768170476E-2,4.779967548E-2
1.073132750E0,7.779925992E-3,2.303802967E-2,-3.175392587E-2,3.999487302E-2
1.083095750E0,1.217978675E-2,3.950554311E-2,-4.047968924E-2,5.785879694E-2
1.093057750E0,2.127848371E-2,3.667373657E-2,-4.462130863E-2,6.155321281E-2
1.103019750E0,2.344573135E-2,7.031861544E-3,-5.504641905E-3,2.508885166E-2
1.112981750E0,1.327093201E-2,-4.338634014E-3,-3.150779463E-2,3.446276983E-2
1.122943750E0,9.979616543E-3,-1.197100461E-2,9.166058712E-3,1.808077238E-2
1.132906750E0,5.883646547E-3,2.547047138E-3,1.340532660E-2,1.485959378E-2
1.142868750E0,3.893459905E-3,3.142878413E-3,2.125112057E-2,2.183224313E-2
1.152830750E0,-2.274441722E-2,9.278361797E-3,1.903381985E-2,3.107543741E-2
1.162792750E0,-2.293118551E-2,-6.028479338E-4,1.293637991E-2,2.633538721E-2
1.172754750E0,-1.621250632E-2,-4.552057385E-2,1.524661481E-2,5.066978654E-2
1.182716750E0,-4.596366032E-2,-9.003542662E-3,-3.453365564E-3,4.696432247E-2
1.192679750E0,-3.420876972E-2,2.811048925E-2,-1.658917207E-2,4.728255663E-2
1.202641750E0,-3.118400507E-2,4.681514740E-2,-4.326588750E-2,7.096504223E-2
1.212603750E0,-2.594731182E-2,3.169307828E-2,-2.747423910E-2,4.932086795E-2
1.222565750E0,-1.608761801E-2,1.373160124E-2,-3.289526582E-2,3.910839858E-2
1.232527750E0,-4.839717555E-3,3.106040955E-3,-5.045036137E-2,5.077705504E-2
1.242490750E0,4.944003560E-3,2.391218841E-2,-2.964421391E-2,3.840592851E-2
1.252452750E0,1.890897722E-2,3.888339937E-2,-4.826408744E-2,6.479884491E-2
1.262414750E0,1.992595877E-2,2.481909156E-2,-1.380586088E-2,3.469341340E-2
1.272376750E0,1.956878526E-2,1.554014504E-2,-1.922915339E-2,3.153083895E-2
1.282338750E0,2.431897646E-2,-8.408880830E-3,-4.003003836E-3,2.604123524E-2
1.292300750E0,9.456162835E-3,1.853275001E-2,-1.353688896E-2,2.482194999E-2
1.302263750E0,-1.065274984E-2,3.904185891E-2,-8.217676878E-3,4.129501228E-2
1.312225750E0,-7.144150925E-3,5.063688755E-3,6.425505280E-3,1.086125934E-2
1.322187750E0,-2.583160090E-2,-4.088840961E-2,-6.036080718E-3,4.873979808E-2
1.332149750E0,-1.461792036E-2,-1.708556414E-2,3.939269185E-3,2.282800778E-2
1.342111750E0,-3.431673765E-2,2.524827719E-3,3.449491784E-4,3.441122241E-2
1.352074750E0,-3.167335306E-2,6.709095240E-3,1.351942040E-2,3.508543831E-2
1.362036750E0,-1.828395098E-2,-7.816557884E-3,4.052120447E-3,2.029337628E-2
1.371998750E0,-2.037923219E-2,-1.471451819E-2,9.534469843E-3,2.688375468E-2
1.381960750E0,-1.040850981E-2,3.093060136E-2,-2.859346926E-2,4.338923439E-2
1.391922750E0,-2.580763645E-2,5.263488114E-2,-6.780372798E-2,8.963152537E-2
1.401884750E0,3.623770787E-3,-7.992559075E-3,-3.121126771E-2,3.242153524E-2
1.411847750E0,-2.888803189E-3,3.678483367E-3,-3.007460553E-2,3.043613513E-2
1.421809750E0,2.750183521E-2,4.483995795E-2,-2.914486170E-2,6.013647589E-2
1.431771750E0,1.079449913E-2,5.771845043E-2,-1.832868218E-2,6.151326135E-2
1.441733750E0,1.849693581E-2,3.272569656E-2,-3.205443621E-2,4.940237576E-2
1.451695750E0,1.108616556E-2,-5.890485048E-3,-1.507763028E-2,1.961978124E-2
1.461657750E0,1.763066625E-2,-7.837023139E-3,-3.362616777E-2,3.876826645E-2
1.471620750E0,-6.841411334E-3,1.027414262E-2,-6.513250060E-3,1.395655194E-2
1.481582750E0,-2.671049223E-3,1.536472857E-2,-1.326210637E-2,2.047175745E-2
1.491544750E0,-2.341506545E-2,7.283291817E-3,7.677394152E-4,2.453367183E-2
1.501506750E0,-2.186189879E-2,-1.621842206E-2,-2.948787399E-3,2.738019685E-2
1.511468750E0,-4.158823453E-2,-7.537060976E-3,1.473436218E-2,4.476036158E-2
1.521431750E0,-2.598112060E-2,-3.646908402E-3,3.990103416E-3,2.653751107E-2
1.531393750E0,-2.277036424E-2,1.895082593E-2,-5.488781333E-3,3.012888998E-2
1.541355750E0,-3.207235701E-2,9.215211868E-3,-7.314282060E-3,3.416218576E-2
1.551317750E0,-1.495617265E-2,6.817853451E-3,-2.039508820E-3,1.656290500E-2
1.561279750E0,-1.077706255E-2,1.504137754E-2,-1.680431306E-2,2.499546065E-2
1.571241750E0,1.090018756E-2,1.982439995E-2,-1.145235658E-2,2.535699890E-2
1.581204750E0,9.998583449E-3,1.143539965E-2,-2.059276063E-2,2.558909585E-2
1.591166750E0,2.196920890E-2,3.238714278E-2,-2.888941146E-2,4.864330634E-2
1.601128750E0,8.380211201E-3,3.044001997E-2,-3.066046000E-2,4.401007342E-2
1.611090750E0,1.722934626E-2,3.762507856E-2,-3.365427095E-2,5.333954314E-2
1.621052750E0,2.128048455E-2,1.786616743E-2,-3.770171363E-2,4.683458308E-2
1.631014750E0,-7.382758437E-3,8.591313958E-3,-2.613595761E-2,2.848515540E-2
1.640977750E0,-6.255739597E-3,1.248497486E-2,-1.136121310E-2,1.800238980E-2
1.650939750E0,-4.535539001E-3,1.817373097E-2,-9.288375154E-3,2.090764273E-2
1.660901750E0,-2.920884303E-2,1.084249198E-2,6.810252070E-3,3.189193749E-2
1.670863750E0,-4.139309742E-2,-1.654762030E-2,1.034836572E-2,4.576353269E-2
1.680825750E0,-2.673538401E-2,-2.687789619E-2,1.081150174E-3,3.792586120E-2
1.690788750E0,-1.924797412E-2,-1.056416452E-2,6.231450811E-3,2.282360749E-2
1.700750750E0,-1.604346240E-2,1.552435756E-3,-2.884431481E-3,1.637445228E-2
1.710712750E0,-1.454195681E-2,3.942192793E-3,1.024439491E-2,1.821968767E-2
1.720674750E0,-1.146396878E-2,1.262296915E-2,-1.551302858E-3,1.712216315E-2
1.730636750E0,6.276419554E-3,2.290354371E-3,-3.169896204E-2,3.239542190E-2
1.740598750E0,1.038498390E-2,1.156053007E-2,-2.610723317E-2,3.038225419E-2
1.750561750E0,9.405040811E-3,3.744907737E-2,-2.536233444E-2,4.619671197E-2
1.760523750E0,1.464698742E-2,2.382564962E-2,-2.503426909E-2,3.753545590E-2
1.770485750E0,1.774465498E-3,2.218550563E-2,-2.470857918E-2,3.325446245E-2
1.780447750E0,2.374652491E-2,2.218550563E-2,-1.588564239E-2,3.617247213E-2
1.790409750E0,2.077836861E-2,1.694756985E-2,-1.202531062E-2,2.938654150E-2
1.800372750E0,1.106936395E-2,3.251695096E-2,-2.209787048E-2,4.084358944E-2
1.810334750E0,-9.085143297E-3,1.844738066E-2,-7.307886668E-3,2.182317322E-2
1.820296750E0,-1.320507317E-2,-1.507704556E-2,-1.626234926E-2,2.580998380E-2
1.830258750E0,-2.606537533E-2,-1.462739468E-2,-7.295644060E-3,3.076671721E-2
1.840220750E0,-3.340192249E-2,6.177583337E-3,9.202311449E-3,3.519280463E-2
1.850182750E0,-1.770703637E-2,1.365909576E-2,-5.104692355E-3,2.293835038E-2
1.860145750E0,-2.332088873E-3,-3.853315115E-3,2.958106399E-3,5.388605511E-3
1.870107750E0,-4.462092491E-3,-8.595407009E-4,1.614240825E-2,1.676980691E-2
1.880069750E0,-1.166596267E-2,-1.134184420E-2,2.894444838E-3,1.652603782E-2
1.890031750E0,-4.503840697E-3,1.919465482E-2,-1.849408530E-2,2.703239808E-2
1.899993750E0,7.024908839E-3,1.364974022E-2,-2.271822352E-2,2.741865117E-2
1.909956750E0,8.231924898E-3,7.808956504E-3,-7.989087291E-3,1.387695590E-2
1.919918750E0,2.356733516E-2,2.441914201E-2,-2.031673551E-2,3.955355262E-2
1.929880750E0,2.960934076E-3,2.381220102E-2,-3.992478848E-2,4.658086284E-2
1.939842750E0,2.474018156E-2,2.381278574E-2,-1.418465082E-2,3.715278815E-2
1.949804750E0,2.599115680E-2,3.594108045E-2,-2.489912532E-2,5.086519377E-2
1.959766750E0,-5.099777039E-3,-7.765102386E-3,-2.690833826E-2,2.846687915E-2
1.969729750E0,2.042610128E-2,4.058143079E-2,-2.026824016E-2,4.974816276E-2
1.979691750E0,-2.289771477E-2,2.651302993E-2,-2.794446487E-2,4.481226634E-2
1.989653750E0,-9.273725138E-3,9.897581935E-3,7.970924377E-3,1.573212451E-2
1.999615750E0,-3.297769329E-2,-1.824155867E-2,-2.588682968E-2,4.572100905E-2
2.009577750E0,-1.853205109E-2,-1.328487396E-3,1.006130397E-2,2.112892884E-2
2.019539750E0,-2.784999579E-2,-3.877873421E-3,-3.315371275E-3,2.831345713E-2
2.029502750E0,-1.393030150E-2,-1.450401843E-2,4.286520705E-3,2.056195784E-2
2.039464750E0,-3.805612799E-2,-1.046827018E-2,9.045021348E-3,4.049278910E-2
2.049426750E0,-1.942614518E-2,-7.180965543E-3,-3.100230284E-3,2.094165252E-2
2.059388750E0,1.252656318E-3,2.389172316E-3,-3.657506481E-3,4.544738261E-3
2.069350625E0,-3.935555289E-3,2.409052849E-2,-1.778664529E-2,3.020276327E-2
2.079313625E0,2.125936149E-2,-1.633595109E-2,5.632038116E-3,2.739605085E-2
2.089275625E0,8.620540900E-3,1.019754410E-3,2.656974792E-3,9.078168291E-3
2.099237625E0,2.143970698E-2,1.972148895E-2,-3.097800035E-2,4.252334262E-2
2.109199625E0,2.564627614E-2,2.211066127E-2,-1.575006008E-2,3.734537742E-2
2.119161625E0,7.690883861E-3,3.917517543E-2,-4.643336076E-2,6.123643569E-2
2.129123625E0,-3.264468522E-3,3.558323085E-2,-3.060081840E-2,4.704501205E-2
2.139086625E0,1.591658696E-2,1.687447965E-2,-3.812552713E-2,4.462781221E-2
2.149048625E0,-1.383014509E-2,2.658728957E-3,-2.491615534E-2,2.862091106E-2
2.159010625E0,-1.624339606E-2,1.194001436E-2,-5.757168531E-3,2.096561108E-2
2.168972625E0,-2.826835494E-2,1.268962741E-2,-1.549395204E-2,3.464374524E-2
2.178934625E0,-8.677441617E-3,1.658270359E-2,-3.849258609E-3,1.910761218E-2
2.188897625E0,-3.597356447E-2,-1.005838037E-2,8.956764936E-3,3.841213343E-2
2.198859625E0,-1.873757615E-2,-1.814274073E-2,2.455889046E-2,3.582450142E-2
2.208821625E0,-2.678877183E-2,-3.344607353E-4,1.895733096E-2,3.281966723E-2
2.218783625E0,-1.187866428E-2,-6.326102614E-3,2.866305113E-3,1.376001251E-2
2.228745625E0,-2.789243835E-2,7.143543363E-3,2.478057303E-2,3.798809193E-2
2.238707625E0,2.269085124E-3,1.133716643E-2,-3.697779179E-3,1.213893162E-2
2.248670625E0,1.633210015E-2,1.450109482E-3,3.907109499E-3,1.685543881E-2
2.258632625E0,2.564612539E-2,1.401928425E-2,-2.564004064E-2,3.888027472E-2
2.268594625E0,2.392651866E-2,1.057527423E-2,-2.397829849E-2,3.548624408E-2
2.278556625E0,1.172287253E-2,1.700428784E-2,-6.318501234E-3,2.159849539E-2
2.288518625E0,-1.158114150E-4,3.524701595E-3,-1.978113055E-2,2.009303510E-2
2.298480625E0,6.163422111E-3,1.504780948E-2,-1.957289658E-2,2.544646583E-2
2.308443625E0,1.774342158E-3,2.732345402E-2,-2.752755839E-2,3.882635575E-2
2.318405625E0,-7.969732094E-3,2.043601871E-2,-2.839064397E-2,3.587723728E-2
2.328367625E0,-8.387310086E-3,2.867123723E-2,-2.529103495E-2,3.914106876E-2
2.338329625E0,-1.325696721E-2,7.715401053E-3,-2.037758309E-2,2.550530309E-2
2.348291625E0,-2.126071822E-2,1.160847723E-2,-1.232596714E-2,2.717911605E-2
2.358254625E0,-3.467428118E-2,1.295684516E-2,-1.475135565E-2,3.984705893E-2
2.368216625E0,-1.425754915E-2,8.768484592E-3,9.208999202E-4,1.676341512E-2
2.378178625E0,-1.855504252E-2,-2.908989787E-3,1.384445250E-2,2.333282429E-2
2.388140625E0,-1.522202910E-2,-2.175164223E-4,7.153995261E-3,1.682073516E-2
2.398102625E0,-4.512574975E-3,2.173410058E-3,9.643154964E-3,1.086634630E-2
2.408064625E0,-1.168534071E-2,-1.788838685E-2,-1.109863658E-2,2.407740238E-2
2.418027625E0,-1.043362543E-5,-1.459991276E-2,-1.563728191E-2,2.139350712E-2
2.427989625E0,7.027773061E-3,-3.083821535E-3,-3.175564349E-2,3.266987056E-2
2.437951625E0,-2.174935816E-4,2.340289593E-2,-2.488158368E-2,3.415898194E-2
2.447913625E0,1.470971708E-2,1.980451941E-2,-2.835249089E-2,3.758268890E-2
2.457875625E0,6.953773806E-3,9.923309684E-3,-1.604761027E-2,2.010852656E-2
2.467837625E0,6.239796798E-3,8.875488639E-3,-6.636516675E-3,1.271820413E-2
