"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.126250718E-4,-2.503096542E-1,8.187856078E-3,9.716486357E-2,2.686316710E-1
1.007462502E-2,8.449939247E-2,8.229956031E-3,4.488112235E-1,4.567706140E-1
2.003762498E-2,-3.341147446E-2,2.076814055E-2,-3.260595290E-1,3.284242054E-1
2.999962505E-2,5.696489051E-2,-9.253218770E-3,-9.260827459E-2,1.091188037E-1
3.996162501E-2,-5.284065288E-2,-2.286378264E-2,2.706698783E-1,2.767256226E-1
4.992462508E-2,-1.575158127E-2,-7.325391769E-3,-2.828656353E-2,3.319492964E-2
5.988662504E-2,2.498821313E-2,8.548044562E-3,-1.026309869E-1,1.059745221E-1
6.984862499E-2,-5.118100294E-2,1.050042987E-2,9.457871318E-2,1.080503914E-1
7.981162507E-2,1.082989306E-2,8.068572879E-3,5.633675337E-2,5.793287695E-2
8.977362502E-2,-2.694173134E-3,-6.578117609E-4,-3.641572818E-3,4.577372366E-3
9.973562497E-2,-5.964434054E-4,1.123542488E-2,4.406110883E-2,4.547495825E-2
1.096986250E-1,-1.901330891E-2,1.980451941E-2,6.348263562E-2,6.916480268E-2
1.196606250E-1,-1.245976788E-2,2.997399688E-2,8.911734067E-2,9.484506688E-2
1.296226251E-1,-4.131701966E-3,2.270532310E-2,7.451859735E-2,7.801040962E-2
1.395846250E-1,-2.362444145E-2,1.016713858E-2,3.179591618E-2,4.089578495E-2
1.495476250E-1,-8.207334615E-3,-6.690968871E-3,-5.954512060E-2,6.047934187E-2
1.595096251E-1,2.918256710E-2,5.546668768E-3,-1.412249491E-1,1.443151898E-1
1.694716250E-1,-9.411280886E-3,5.449604988E-3,-1.778003063E-1,1.781325892E-1
1.794346251E-1,6.709812437E-3,7.882046700E-3,-2.272852924E-1,2.275208834E-1
1.893966250E-1,1.695748727E-2,-7.067529559E-3,-2.249780542E-1,2.257268952E-1
1.993586250E-1,3.882939485E-3,-2.669312418E-2,-1.738757282E-1,1.759555881E-1
2.093216251E-1,3.033461477E-2,-1.552669644E-2,-1.407577566E-1,1.448240767E-1
2.192836250E-1,-1.643251694E-2,4.975980520E-4,-7.969235994E-2,8.137043351E-2
2.292456250E-1,-2.351272765E-2,-3.689593077E-3,8.886597618E-1,8.889784214E-1
2.392076250E-1,-1.649121842E-1,-1.433912694E-2,2.617166948E-1,3.096728393E-1
2.491706250E-1,1.506181174E-1,2.283980906E-2,-6.484146275E-1,6.660698187E-1
2.591326251E-1,-2.873378417E-2,-3.184978366E-3,4.231904787E-1,4.241767977E-1
2.690946250E-1,-2.167347683E-2,3.548967540E-2,2.247962058E-2,4.727145015E-2
2.790576250E-1,2.381179446E-2,5.467614412E-2,-3.037914314E-1,3.095895930E-1
2.890196251E-1,-3.898894618E-2,3.006112039E-2,2.798827513E-1,2.841798082E-1
2.989816250E-1,5.519339887E-2,3.722805262E-2,-2.270240680E-1,2.365843753E-1
3.089446251E-1,-5.566517781E-2,1.944725454E-2,-1.169954762E-3,5.897606738E-2
3.189066250E-1,1.526947377E-2,-3.479093313E-4,5.606843926E-2,5.811151135E-2
3.288686250E-1,2.011890776E-2,3.434654474E-2,-1.456909794E-1,1.510308480E-1
3.388316251E-1,-1.288934637E-2,5.534331143E-2,-5.794583403E-2,8.115871519E-2
3.487932084E-1,4.128773790E-4,3.739762187E-2,7.098636746E-2,8.023600785E-2
3.587552083E-1,-1.480007483E-2,-1.737792492E-2,-4.665617622E-2,5.194067067E-2
