"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.117541688E-3,1.168388780E-2,3.141790256E-2,-1.581875142E-3,3.355741594E-2
1.107954176E-2,-4.327569157E-3,-1.219748612E-2,-1.305705402E-3,1.300812781E-2
2.104254172E-2,-9.235159960E-4,-4.516929388E-3,-1.648743637E-5,4.610401797E-3
3.100454167E-2,5.067531019E-3,1.292863954E-2,7.345239865E-4,1.390572243E-2
4.096754175E-2,-5.716970190E-3,-1.657873392E-2,-6.501195021E-4,1.754881255E-2
5.092954170E-2,5.010508932E-3,1.675418764E-2,-2.454291098E-5,1.748738419E-2
6.089254178E-2,-5.131192971E-3,-1.492904499E-2,4.522860982E-4,1.579272264E-2
7.085454173E-2,2.058542799E-3,9.706791490E-3,3.002196318E-4,9.927211659E-3
8.081754169E-2,-2.475073561E-3,-5.386202596E-3,8.496989030E-4,5.988251478E-3
9.077954176E-2,-1.354948152E-3,1.451831777E-4,-5.812174641E-4,1.481477772E-3
1.007425417E-1,-2.396136988E-4,1.783937449E-3,1.420790097E-3,2.293140215E-3
1.107045417E-1,-3.556048265E-3,-4.098452628E-3,-2.465028083E-3,5.959795018E-3
1.206675417E-1,3.487339709E-4,3.205413697E-3,8.045140421E-4,3.323181487E-3
1.306295417E-1,-2.596456092E-3,-5.945473909E-3,-1.305218320E-4,6.489012266E-3
1.405925418E-1,2.806801349E-4,3.304544836E-3,1.265956555E-3,3.549851252E-3
1.505545417E-1,-1.246528700E-4,-3.522468498E-3,5.442398833E-4,3.566443566E-3
1.605175417E-1,1.038119663E-4,2.622238593E-3,-4.828043748E-4,2.668335104E-3
1.704795418E-1,2.591737080E-3,-1.041205600E-3,1.255174633E-3,3.062135457E-3
1.804425417E-1,-2.507728059E-4,5.410751328E-5,1.109736040E-4,2.795170191E-4
1.904045417E-1,1.414235448E-3,9.875453543E-4,1.948554767E-3,2.602339988E-3
2.003675418E-1,-8.022550028E-4,-1.222989522E-5,1.951478189E-4,8.257392634E-4
2.103295417E-1,-4.339397419E-4,1.454106532E-3,-6.115236320E-4,1.636059491E-3
2.202925418E-1,3.254471812E-4,-3.616691101E-4,-8.230980020E-4,9.561436785E-4
2.302545417E-1,1.998977503E-3,8.825596888E-4,-2.016726881E-3,2.973551744E-3
2.402175417E-1,-3.301615361E-4,-1.036616508E-3,-7.010351401E-4,1.294229768E-3
2.501795418E-1,-1.211134950E-3,9.796626400E-4,6.062886678E-5,1.558929958E-3
2.601425417E-1,-5.467981100E-4,-6.196273025E-4,-2.415745985E-4,8.609787766E-4
2.701045417E-1,-6.139101461E-4,1.130069606E-3,1.471903408E-3,1.954595258E-3
2.800675418E-1,-2.682309132E-4,7.200373802E-4,-1.464770176E-4,7.822129943E-4
2.900305417E-1,4.825142678E-4,-8.624128532E-4,-1.229051966E-3,1.577068383E-3
2.999925418E-1,1.414534636E-4,-4.193778150E-4,-2.411820460E-4,5.040392975E-4
3.099555417E-1,-1.752586570E-3,-1.271589310E-3,-3.570294939E-4,2.194531639E-3
3.199175417E-1,3.717006184E-4,-3.113411367E-5,-2.108421875E-3,2.141161714E-3
3.298805418E-1,5.256312434E-4,-9.683003882E-4,-1.669775229E-4,1.114349738E-3
3.398425417E-1,2.006611321E-3,9.551122785E-4,9.962187614E-4,2.435401462E-3
3.498055417E-1,-1.169932075E-4,4.214148503E-4,-1.357749337E-3,1.426450542E-3
3.597675418E-1,-4.477822222E-4,1.230417751E-3,6.268916186E-4,1.451698957E-3
3.697305417E-1,2.907125745E-4,-5.722760689E-4,7.211675402E-4,9.654513561E-4
3.796925417E-1,-5.358015187E-5,3.740927204E-4,1.794142881E-3,1.833511624E-3
3.896555417E-1,3.570793197E-4,-1.665288582E-4,-2.418437507E-4,4.623049869E-4
3.996175417E-1,-1.154619269E-3,-1.929332968E-3,-4.299441352E-4,2.289175248E-3
4.095805418E-1,-1.116801985E-3,5.170467775E-4,-1.239811536E-3,1.746916337E-3
4.195425417E-1,-4.335253034E-4,-8.291605627E-4,1.331325853E-3,1.627230763E-3
4.295055417E-1,-1.722228946E-3,-4.805526696E-4,2.134535229E-3,2.784464770E-3
4.394675418E-1,3.519095480E-5,-7.229018956E-5,5.550144706E-4,5.608077544E-4
4.494305417E-1,-7.916316390E-4,1.118827146E-3,1.019576564E-3,1.708212869E-3
4.593925417E-1,-1.924191602E-4,-1.345834346E-3,-3.425979521E-4,1.402023030E-3
4.693555417E-1,2.821562812E-4,4.259666894E-4,2.118720440E-4,5.531270654E-4
4.793175417E-1,4.774241243E-4,-1.298188232E-3,5.743596703E-4,1.497703412E-3
4.892805418E-1,1.742159249E-3,8.477868978E-4,-8.925094735E-4,2.133174778E-3
4.992425417E-1,-7.808138616E-5,1.077966299E-3,2.412482863E-4,1.107388270E-3
5.092055417E-1,6.633428857E-4,-3.438955173E-4,3.027672647E-4,8.061984417E-4
5.191675418E-1,2.289812546E-4,6.340174004E-4,-7.915231399E-4,1.039672718E-3
5.291305417E-1,-5.944680888E-4,-1.233858056E-4,2.519033151E-4,6.573215696E-4
5.390925417E-1,1.242846018E-3,-6.443946622E-4,-8.482800331E-4,1.636914695E-3
5.490555417E-1,2.500195988E-4,5.018298980E-4,-8.555082604E-5,5.671525281E-4
5.590175417E-1,-1.262123231E-3,1.958326902E-4,1.603425946E-3,2.049946403E-3
5.689805418E-1,-7.744985633E-4,3.593508154E-4,3.408213379E-4,9.193150806E-4
5.789425417E-1,-4.837689921E-4,1.466197660E-3,8.347942494E-4,1.755177898E-3
5.889055417E-1,-3.644591197E-4,-1.723204274E-3,-1.018499490E-3,2.034601836E-3
5.988675418E-1,-9.903628379E-4,-5.130558275E-4,-1.055379398E-3,1.535535902E-3
6.088305417E-1,-1.719269902E-3,-7.024067454E-4,8.628956275E-4,2.047889913E-3
6.187925417E-1,-8.275038563E-4,8.129363414E-4,-9.002897423E-4,1.468383379E-3
6.287555418E-1,1.095831161E-3,-2.837532666E-4,-6.166030653E-5,1.133650671E-3
6.387175417E-1,-8.683549240E-4,-2.937586978E-4,-3.539172467E-4,9.826453399E-4
6.486805418E-1,-2.784649841E-4,1.376734581E-4,-3.840108402E-4,4.939241378E-4
6.586425417E-1,-9.055018891E-4,-3.929226659E-4,-8.298435714E-4,1.289558934E-3
6.686055417E-1,1.495604170E-3,8.710136171E-4,-1.778461505E-3,2.481616787E-3
6.785685418E-1,2.469861880E-3,2.623421606E-4,2.347965725E-3,3.417891771E-3
6.885305417E-1,3.141244873E-3,-1.302531338E-3,-1.229724847E-3,3.616107084E-3
6.984935417E-1,2.303958405E-3,1.526653534E-3,1.270329696E-3,3.041814077E-3
7.084555418E-1,2.680263016E-3,-1.506055705E-4,1.043162076E-3,2.880048436E-3
7.184185417E-1,1.365354052E-3,6.847803015E-4,-9.776975494E-4,1.813562308E-3
7.283805417E-1,2.811811864E-4,-5.402739625E-4,-2.890040632E-4,6.741529224E-4
7.383435417E-1,3.106012009E-4,-1.202827203E-3,6.370812189E-4,1.396115635E-3
7.483055417E-1,1.358978916E-4,-4.408578388E-5,-8.468320593E-4,8.587993537E-4
7.582685418E-1,3.378752153E-4,3.768524621E-4,2.458859235E-4,5.627053640E-4
7.682305417E-1,-5.401689559E-4,1.328932820E-3,-1.633240608E-3,2.173780078E-3
7.781935417E-1,-2.569086850E-3,-6.365249865E-4,1.762923785E-5,2.646824907E-3
7.881555418E-1,-5.560033023E-4,8.284798823E-4,-5.667307414E-5,9.993650109E-4
7.981185417E-1,-7.457793690E-4,-1.575601054E-3,-5.819331855E-4,1.837757270E-3
8.080805417E-1,1.098942012E-4,1.356006600E-3,-1.148387557E-3,1.780343960E-3
8.180435417E-1,-2.708141692E-4,1.194046345E-4,7.741659647E-4,8.288128389E-4
8.280055417E-1,-1.346464735E-3,-3.463821486E-4,-1.990461489E-3,2.427938388E-3
8.379685418E-1,6.164754741E-4,-1.329861116E-4,-1.069528516E-4,6.396610262E-4
8.479305417E-1,2.446866129E-3,6.595184095E-5,6.560428301E-4,2.534145949E-3
8.578935417E-1,3.362328280E-4,-5.914880894E-4,6.807685131E-4,9.624741259E-4
8.678555418E-1,2.358903643E-3,-1.119060325E-3,-4.374927375E-4,2.647285837E-3
8.778187918E-1,3.142061643E-3,1.558508724E-3,-1.150803640E-3,3.691320879E-3
8.877807917E-1,-1.697987318E-5,-2.098302357E-4,-1.406200696E-3,1.421871106E-3
8.977437917E-1,1.845524646E-3,1.724257600E-4,-6.679836661E-4,1.970252279E-3
9.077057918E-1,-7.936679758E-4,5.966674071E-4,-4.213748034E-4,1.078646177E-3
9.176687917E-1,-6.078984588E-4,4.096995108E-4,-9.331479669E-4,1.186658904E-3
9.276307917E-1,-1.618186943E-4,7.290125359E-4,1.115089282E-3,1.342038999E-3
9.375937918E-1,-2.041176893E-3,-1.546569634E-3,-2.223551273E-4,2.570549074E-3
9.475557917E-1,-7.338314317E-4,1.318192808E-3,-4.126015119E-5,1.509252547E-3
9.575187918E-1,-1.814787276E-3,1.850381959E-4,1.270039938E-4,1.828612044E-3
9.674807917E-1,-9.196987376E-4,9.245981928E-4,4.074347671E-4,1.366283527E-3
9.774437917E-1,-8.489568718E-4,1.369582023E-4,-4.922077060E-4,9.908348728E-4
9.874057918E-1,7.534669712E-4,6.999503821E-4,2.619429491E-3,2.814081355E-3
9.973687917E-1,-1.177288126E-3,-2.447268926E-4,2.999760909E-4,1.239307968E-3
1.007330792E0,-5.365316756E-4,-7.525917608E-4,-1.273685833E-3,1.573701433E-3
1.017293792E0,1.340124523E-3,6.011526566E-4,7.699878188E-4,1.658372544E-3
1.027255792E0,8.532986976E-4,1.374001848E-3,4.016726743E-4,1.666535533E-3
1.037218792E0,2.326567192E-4,7.044030353E-4,1.336404821E-3,1.528492928E-3
1.047180792E0,-1.023686491E-4,-5.558046978E-4,-7.097017951E-4,9.072347218E-4
1.057143792E0,1.929990016E-3,-2.722386271E-4,-7.154787891E-4,2.076267138E-3
1.067105792E0,2.458360977E-3,1.402851194E-4,-5.351828877E-4,2.519849070E-3
1.077068792E0,1.631804975E-3,-4.824930802E-4,2.574251965E-3,3.085832177E-3
