"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.775363749E-1,-1.956314361E-2,-2.292517841E-2,3.718361378E-2,4.786336309E-2
5.874983750E-1,-2.215838231E-2,-2.385430098E-2,2.448287666E-2,4.073613668E-2
5.974603749E-1,1.637211018E-2,5.370199800E-2,-6.166948713E-2,8.339709961E-2
6.074223750E-1,7.694431019E-3,-5.128826737E-2,-7.883808173E-2,9.436701633E-2
6.173843750E-1,4.231892179E-2,7.524080157E-2,-9.446359612E-2,1.279665595E-1
6.273463749E-1,2.423943377E-2,-8.725215197E-3,-1.029911023E-1,1.061642439E-1
6.373083750E-1,4.418937298E-2,4.029374778E-2,-5.843590379E-2,8.361244911E-2
6.472703749E-1,1.739802929E-2,-1.501331091E-2,1.509926498E-2,2.749688583E-2
6.572333750E-1,4.483476855E-2,3.291514635E-2,9.279823601E-2,1.081899992E-1
6.671953750E-1,7.645054024E-3,1.575883090E-2,1.477041757E-1,1.487390706E-1
6.771573749E-1,2.776308241E-2,7.164593339E-3,8.281309202E-2,8.763634151E-2
6.871193750E-1,3.047613337E-2,2.186975598E-2,3.436752163E-2,5.087442850E-2
6.970813749E-1,1.507572765E-2,-2.049273670E-2,5.103669092E-2,5.702607861E-2
7.070433750E-1,1.236056393E-2,8.565410793E-2,3.791919351E-3,8.662440994E-2
7.170053750E-1,-2.982558038E-2,2.035415769E-3,2.916518077E-3,3.003688133E-2
7.269673749E-1,-2.989286219E-3,-2.719423056E-2,5.204021931E-3,2.784858797E-2
7.369293750E-1,-6.599857374E-3,-9.721112967E-2,-3.851451315E-2,1.047708431E-1
7.468913749E-1,2.801932750E-2,2.307428241E-2,-1.707562387E-2,4.011336626E-2
7.568543750E-1,-1.856414682E-2,2.465946257E-2,5.059237562E-2,5.926470377E-2
7.668163750E-1,-1.748865428E-2,2.899283409E-2,1.633750791E-1,1.668467978E-1
7.767783749E-1,-2.936011689E-2,-5.840257466E-2,1.494758821E-1,1.631438522E-1
7.867403750E-1,2.664721211E-2,-1.983667910E-2,6.033215582E-2,6.887333865E-2
7.967023749E-1,3.609820838E-2,1.465312243E-2,4.316750810E-2,5.814833102E-2
8.066643750E-1,1.704347789E-2,5.016852558E-2,3.578013584E-2,6.393417879E-2
8.166263750E-1,2.383190568E-2,2.504303992E-2,2.718955278E-2,4.398164796E-2
8.265883749E-1,2.513231959E-2,4.946159720E-3,7.959573470E-2,8.361566221E-2
8.365503750E-1,5.525838062E-2,1.222009599E-2,2.606096707E-2,6.230564485E-2
8.465133749E-1,4.275007172E-2,2.868117750E-2,-4.935459316E-2,7.131657900E-2
8.564753750E-1,1.239566321E-2,4.036332965E-2,-1.662363410E-3,4.225652966E-2
8.664373750E-1,1.387073756E-3,-4.997030497E-3,8.260873184E-3,9.753784555E-3
8.763993749E-1,-4.956805764E-3,4.741448700E-2,-3.156743623E-2,5.717697554E-2
8.863613750E-1,-8.932444174E-4,-1.449466288E-2,-2.309489384E-2,2.728126205E-2
8.963233749E-1,1.271136717E-3,2.991727889E-2,-2.800297357E-2,4.099787669E-2
9.062853750E-1,-1.040641304E-2,-1.289778829E-2,-4.077263474E-3,1.706664737E-2
9.162473750E-1,2.584747061E-2,4.960777760E-3,-3.266371608E-2,4.194781760E-2
9.262093749E-1,-7.962694878E-3,-4.781911433E-2,1.600543723E-2,5.105140767E-2
9.361713750E-1,-3.183503771E-2,1.496887207E-4,5.982227862E-2,6.776575132E-2
9.461343749E-1,2.060407591E-2,4.338634014E-4,1.446216698E-1,1.460826600E-1
9.560963750E-1,5.722096658E-3,3.115981221E-2,9.521898329E-2,1.003510392E-1
9.660583750E-1,2.264054006E-2,3.111303449E-3,1.168693956E-1,1.190828698E-1
9.760203749E-1,5.551510993E-3,-5.326813459E-3,1.845673621E-1,1.847276518E-1
9.859823750E-1,2.615765855E-2,-9.421618581E-3,1.538807358E-1,1.563722189E-1
9.959443749E-1,2.877477178E-2,3.598142624E-2,2.171612039E-2,5.093368640E-2
1.005906375E0,3.386895970E-2,7.940518856E-3,-3.484297335E-2,4.923607481E-2
1.015868375E0,1.078890773E-2,3.867933154E-3,-9.658430815E-3,1.498821947E-2
1.025830375E0,1.291182846E-2,-7.669792771E-3,2.377828717E-2,2.812379733E-2
1.035792375E0,5.538096658E-3,3.559200168E-3,-2.117496058E-2,2.217470126E-2
1.045754375E0,1.196543376E-2,1.707620859E-2,-9.011728764E-3,2.271518788E-2
1.055717375E0,-2.419420921E-2,1.327201009E-2,3.182654098E-2,4.212403971E-2
1.065679375E0,-5.749500456E-2,6.793879867E-3,2.730181932E-2,6.400954376E-2
1.075641375E0,5.355144133E-2,-1.384094417E-2,-5.908092476E-2,8.093135533E-2
1.085603375E0,-1.070680369E-1,-2.425074220E-2,-1.832385823E-2,1.112988176E-1
1.095565375E0,-1.137463886E-3,6.306806803E-3,-4.271456815E-2,4.319263790E-2
1.105527375E0,-6.046078086E-3,2.326373219E-2,2.401509941E-2,3.397765877E-2
1.115489375E0,4.591484978E-3,1.108164310E-2,-6.703496531E-2,6.809971455E-2
1.125451375E0,3.955705800E-2,-6.696816087E-3,-8.124128737E-2,9.060769810E-2
1.135413375E0,2.692636641E-2,-1.579508364E-2,5.081405818E-2,5.963708900E-2
1.145375375E0,2.277958274E-2,1.695517123E-2,1.223886555E-1,1.256398433E-1
1.155338375E0,3.754722836E-2,2.221883476E-2,7.763289750E-2,8.905244382E-2
1.165300375E0,3.887133949E-2,2.435774624E-2,-7.671254575E-2,8.938174037E-2
1.175262375E0,9.031045589E-2,1.062146723E-2,-2.576768535E-1,2.732510839E-1
1.185224375E0,1.266943396E-2,-8.817016482E-3,-1.526346210E-1,1.534131086E-1
1.195186375E0,1.683819951E-2,-2.824205160E-3,-1.645587748E-1,1.654421091E-1
1.205148375E0,2.686667456E-2,9.108207822E-3,-6.665248431E-2,7.243846573E-2
1.215110375E0,-7.273502299E-3,2.456415296E-2,-3.534466445E-2,4.365256867E-2
1.225072375E0,1.354413402E-2,-6.692138314E-3,6.282263115E-2,6.461355327E-2
1.235034375E0,-1.691304843E-3,-1.194586158E-3,1.149286316E-1,1.149472832E-1
1.244996375E0,8.886739961E-3,4.474874139E-3,1.195613806E-1,1.199746739E-1
1.254959375E0,-1.918550484E-2,8.993017673E-3,9.117285624E-2,9.360260508E-2
1.264921375E0,-1.346562830E-2,6.448894143E-3,5.299346164E-2,5.505650150E-2
1.274883375E0,7.706516027E-3,1.571790040E-2,1.492911100E-2,2.300698019E-2
1.284845375E0,1.120919920E-2,2.081082523E-2,1.041403726E-2,2.582999739E-2
1.294807375E0,1.580853224E-2,2.306258798E-2,2.846775413E-2,3.990245206E-2
1.304769375E0,2.226581348E-2,3.146971464E-3,5.203554153E-2,5.668657215E-2
1.314731375E0,1.262791644E-2,2.823035717E-3,3.579431534E-2,3.806135593E-2
1.324693375E0,3.191365535E-2,1.341000438E-2,1.641386524E-2,3.831089385E-2
1.334655375E0,1.435464034E-2,8.123536706E-3,2.911613725E-2,3.346336798E-2
1.344617375E0,1.258275355E-2,6.233716607E-3,6.350251615E-2,6.503656254E-2
1.354580375E0,1.662107594E-3,1.581730306E-2,6.814184323E-2,6.997328402E-2
