"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.754500019E-3,-9.088569400E-3,2.072722832E-2,-8.648031950E-4,2.264879626E-2
1.271649997E-2,4.794821902E-3,1.346597319E-2,2.859873176E-3,1.457743550E-2
2.267850004E-2,6.178241149E-2,1.503569478E-2,1.227739871E-1,1.382627585E-1
3.264049999E-2,-3.841713874E-2,4.946430154E-2,-1.827564794E-1,1.931903839E-1
4.260250006E-2,5.311568672E-2,-9.771811981E-3,1.262127346E-1,1.372822598E-1
5.256450002E-2,-2.957109859E-2,3.711172957E-2,-3.695089459E-2,6.014232249E-2
6.252649997E-2,1.067493956E-2,-2.467543278E-3,1.658779067E-1,1.662393546E-1
7.248850004E-2,-3.297997050E-2,1.311981803E-2,-3.470907211E-2,4.964401038E-2
8.245083329E-2,-4.701325838E-3,2.447260749E-3,-6.150920033E-2,6.173713045E-2
9.241383336E-2,-3.113475598E-3,-4.324564151E-3,1.513259411E-3,5.539452991E-3
1.023758333E-1,-5.402528050E-3,-8.848938625E-3,9.595280886E-3,1.412658626E-2
1.123378334E-1,1.555476993E-2,-2.338802207E-2,8.249661148E-2,8.714723948E-2
1.222998333E-1,-3.428021539E-3,-1.068465371E-2,-6.210912466E-2,6.311463002E-2
1.322618333E-1,3.288064549E-2,-6.882465184E-3,4.102815807E-2,5.302654929E-2
1.422238334E-1,-8.207252389E-4,2.870617434E-3,-4.100126088E-2,4.110982155E-2
1.521858333E-1,2.322955111E-2,1.188168839E-2,5.839497328E-2,6.395904524E-2
1.621478334E-1,5.164948369E-3,7.423423994E-3,9.745554328E-3,1.329510228E-2
1.721098333E-1,1.986562510E-2,4.861046188E-4,4.746828139E-2,5.145985908E-2
1.820718333E-1,1.343566817E-2,-2.757053543E-3,2.306785047E-2,2.683736665E-2
1.920338334E-1,9.534150073E-3,1.829696104E-2,2.051671028E-2,2.909663557E-2
2.019958333E-1,9.726110052E-3,9.497979563E-3,5.696357489E-3,1.473965132E-2
2.119578334E-1,-5.206034195E-3,-1.115575656E-3,1.348017097E-2,1.449352650E-2
2.219198333E-1,-5.522144723E-3,-6.352670901E-3,1.856900275E-2,2.038770151E-2
2.318818333E-1,-4.246017316E-3,-1.874178797E-3,3.218775272E-2,3.252064936E-2
2.418438334E-1,-8.902611954E-3,3.366333414E-3,2.889460087E-2,3.042181223E-2
2.518058333E-1,-2.043896515E-2,1.122623378E-2,4.191518068E-2,4.796521649E-2
2.617678334E-1,-5.602822595E-3,7.064898312E-3,-1.017707884E-2,1.359696080E-2
2.717298333E-1,-7.350137369E-3,7.526700441E-3,7.635294199E-3,1.299897905E-2
2.816918334E-1,1.428835667E-2,5.017459206E-4,4.071650147E-2,4.315370642E-2
2.916538334E-1,1.487805522E-2,1.012198711E-2,3.637435913E-2,4.058207920E-2
3.016158333E-1,3.380246818E-2,9.219999276E-3,7.449352741E-4,3.504525888E-2
3.115778334E-1,4.482341673E-2,-6.315796897E-3,-2.215860844E-2,5.039872920E-2
3.215398333E-1,3.544777416E-2,-3.769626841E-3,-2.155634522E-2,4.165850212E-2
3.315018334E-1,2.092423380E-2,4.632694144E-3,4.251393557E-2,4.761008436E-2
3.414638333E-1,2.358447938E-2,1.502750868E-2,5.538950443E-2,6.204877828E-2
3.514258333E-1,2.256820818E-2,-1.144848280E-3,6.441877484E-3,2.349749951E-2
3.613878334E-1,5.625766064E-3,1.037129777E-2,-2.858528316E-2,3.092460953E-2
3.713498333E-1,-6.954433902E-3,-3.353579175E-3,-2.034947991E-2,2.176492538E-2
