"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.014166585E-3,5.395289045E-4,-1.161314896E-3,-7.174350321E-5,1.282532985E-3
1.497716666E-2,-2.058488317E-4,-3.834792413E-3,4.374961136E-4,3.865153223E-3
2.493916661E-2,-1.607470680E-3,-4.344254732E-3,-1.446424052E-3,4.852695509E-3
3.490216658E-2,-7.767681964E-4,-4.193252884E-3,1.857149415E-3,4.651423710E-3
4.486516665E-2,-4.880819470E-4,-1.325294608E-3,7.415512810E-4,1.595157700E-3
5.482816661E-2,1.102530863E-3,-4.739551805E-4,-7.674838416E-4,1.424513694E-3
6.479116657E-2,-1.893686131E-4,-8.406725246E-4,-3.525633365E-4,9.310701754E-4
7.475416665E-2,1.016774913E-3,4.989071749E-5,1.764173270E-3,2.036818017E-3
8.471716661E-2,-3.062835895E-4,2.050191164E-3,3.841231810E-4,2.108232450E-3
9.468016657E-2,6.825064775E-4,3.961577080E-3,1.408374985E-3,4.259510318E-3
1.046421666E-1,1.663348638E-3,3.351180581E-3,-6.835381500E-4,3.803204489E-3
1.146051666E-1,2.626631409E-3,2.891483717E-3,1.737572486E-3,4.275398085E-3
1.245681667E-1,2.118500415E-3,4.069665913E-3,1.195352990E-3,4.741212231E-3
1.345311666E-1,9.618704207E-4,1.512924442E-3,3.188655712E-3,3.658095177E-3
1.444941666E-1,-4.297339823E-3,-1.227585878E-2,2.752861753E-2,3.044648784E-2
1.544571667E-1,-1.605624333E-2,-4.211601242E-2,1.537076086E-1,1.601798689E-1
1.644201666E-1,-1.498059183E-2,-4.029467329E-2,2.317861617E-1,2.357390582E-1
1.743821666E-1,1.323148608E-4,1.387506258E-3,1.843103915E-1,1.843156616E-1
1.843451667E-1,7.483172230E-3,2.153937891E-2,9.619703889E-2,9.886259657E-2
1.943081666E-1,-2.970195375E-3,-2.683134517E-3,9.351629764E-2,9.360191876E-2
2.042711666E-1,-1.299726311E-2,-3.575773165E-2,2.148645669E-1,2.182070722E-1
2.142341667E-1,-1.494546141E-2,-4.083199427E-2,3.692239523E-1,3.717753966E-1
2.241971666E-1,-4.977783188E-3,-8.043953218E-3,4.784702957E-1,4.785637965E-1
2.341601666E-1,-5.728867371E-3,-9.045550600E-3,5.835689306E-1,5.836671472E-1
2.441231667E-1,-4.174113739E-3,-3.018817166E-3,6.776030064E-1,6.776225872E-1
2.540851666E-1,9.429114871E-4,1.139573846E-2,8.157927990E-1,8.158729330E-1
2.640481666E-1,2.480929252E-4,6.420154124E-3,9.677974582E-1,9.678187847E-1
2.740111666E-1,9.062088095E-3,3.908167779E-2,1.123254061E0,1.123970277E0
2.839741666E-1,9.973688051E-3,3.852241114E-2,1.322784662E0,1.323383056E0
2.939371666E-1,1.495723799E-2,4.723744839E-2,1.540382624E0,1.541179329E0
3.039001666E-1,1.507042162E-2,6.043421477E-2,1.770903468E0,1.771998450E0
3.138631666E-1,2.449750528E-2,9.322562069E-2,1.947513223E0,1.949897150E0
3.238251666E-1,2.762032859E-2,9.557985514E-2,2.169763803E0,2.172043589E0
3.337881666E-1,9.218730032E-3,5.242709443E-2,2.311779499E0,2.312392276E0
3.437511666E-1,-6.760503631E-3,2.567659598E-3,2.460148096E0,2.460158725E0
3.537141667E-1,2.833461855E-3,4.295985773E-2,2.593207121E0,2.593564487E0
