"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.693396666E-1,9.830715135E-4,-1.483829692E-6,-7.650265470E-4,1.245671474E-3
6.793026666E-1,1.211415976E-3,1.200330909E-3,-3.862970043E-4,1.748584666E-3
6.892646666E-1,1.459622523E-3,-3.006265033E-4,-9.281653911E-5,1.493147385E-3
6.992276666E-1,-3.333247732E-4,9.018154815E-4,6.034055259E-4,1.135110037E-3
7.091896667E-1,7.138301153E-4,1.442170702E-3,4.856938031E-4,1.680865324E-3
7.191526666E-1,-1.774493139E-4,5.397771019E-4,-5.721501075E-4,8.063518613E-4
7.291146666E-1,9.277625941E-4,9.040976875E-4,-1.681889407E-3,2.122943249E-3
7.390776667E-1,1.119469758E-3,-1.158533036E-3,-7.538627833E-4,1.778685028E-3
7.490396666E-1,3.365003504E-4,-2.034180332E-3,-1.519521698E-3,2.561263028E-3
7.590026666E-1,-1.601624070E-3,1.886443468E-3,5.666748621E-5,2.475293886E-3
7.689656666E-1,-8.093339857E-4,-2.281062771E-4,-5.625174381E-4,1.011671806E-3
7.789276666E-1,-2.241080860E-3,-2.513231244E-3,-8.315553423E-4,3.468466375E-3
7.888906666E-1,-3.041360760E-3,1.315328991E-3,-3.061136231E-4,3.327712604E-3
7.988526666E-1,-3.620797535E-3,-2.598630264E-3,1.121254871E-3,4.595679115E-3
8.088156666E-1,-1.291063847E-3,7.750620134E-4,-3.536038566E-4,1.546804018E-3
8.187776667E-1,-1.938452711E-3,-5.384930409E-4,-2.409142908E-4,2.026231321E-3
8.287406666E-1,-1.510749338E-3,7.544716354E-4,9.721555980E-4,1.948506484E-3
8.387026666E-1,-1.095935469E-3,8.492460474E-4,-9.169748519E-4,1.662268414E-3
8.486656667E-1,-2.660944592E-4,-6.751471665E-4,-7.441355847E-4,1.039407392E-3
8.586276666E-1,-3.423448652E-4,4.279913846E-4,-4.516313784E-4,7.101742983E-4
8.685906666E-1,2.038787352E-3,4.562209360E-4,-1.104105962E-3,2.363015316E-3
8.785526666E-1,1.451097196E-3,-3.266294952E-4,1.053347718E-3,1.822611125E-3
8.885156666E-1,3.550200723E-3,2.303242218E-3,3.494742559E-4,4.246290398E-3
8.984776667E-1,1.502226572E-3,1.149319578E-4,-1.469758339E-3,2.104776379E-3
