"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.560583361E-3,-1.698293723E-3,9.855660610E-4,1.874977201E-1,1.875080014E-1
8.402416599E-3,-2.088087611E-3,3.324747318E-3,1.455884278E-1,1.456413552E-1
1.836541668E-2,-1.607579179E-4,-5.348369479E-3,1.202934533E-1,1.204123989E-1
2.832841664E-2,1.221100567E-3,-1.181245199E-3,1.134112030E-1,1.134239278E-1
3.829041659E-2,5.417282227E-4,-3.056376940E-3,1.360275745E-1,1.360629852E-1
4.825341667E-2,2.359782811E-4,-5.427465308E-3,1.689813584E-1,1.690686623E-1
5.821641663E-2,-5.595078692E-4,1.428043703E-3,1.910310090E-1,1.910371659E-1
6.817941659E-2,1.138878986E-3,4.357432947E-3,1.966582388E-1,1.967098044E-1
7.814241666E-2,-4.864484072E-4,4.004297778E-3,1.922501773E-1,1.922924899E-1
8.810541662E-2,6.985540967E-4,6.618444808E-3,2.134506702E-1,2.135543969E-1
9.806841658E-2,-6.502899807E-3,-8.906186558E-3,1.780945361E-1,1.784356232E-1
1.080304167E-1,1.325220894E-2,4.411469027E-2,2.079770714E-1,2.130168753E-1
1.179934166E-1,-1.026137266E-2,-1.308841445E-2,2.477737516E-1,2.483312996E-1
1.279564166E-1,6.136736367E-3,2.201517858E-2,2.520263493E-1,2.530604836E-1
1.379194167E-1,-1.000281796E-2,-1.361631788E-2,2.408804744E-1,2.414722830E-1
1.478824166E-1,-5.935584195E-4,5.265722983E-3,2.702390552E-1,2.702910044E-1
1.578454166E-1,-5.809626076E-3,-5.872149486E-3,3.071307540E-1,3.072418167E-1
1.678074166E-1,2.773354994E-3,1.523918565E-2,3.387758434E-1,3.391297633E-1
1.777704166E-1,-1.274383627E-3,3.841121914E-3,3.439687490E-1,3.439925560E-1
1.877334167E-1,3.481612541E-3,2.117631212E-2,3.602817953E-1,3.609203926E-1
1.976964166E-1,-4.900686909E-3,-2.568964381E-3,3.769609034E-1,3.770015106E-1
2.076594166E-1,-1.012062188E-3,7.453166880E-3,3.959869444E-1,3.960583721E-1
2.176224167E-1,-7.555996999E-4,2.188282087E-5,4.283424914E-1,4.283431584E-1
2.275854166E-1,-1.852964982E-3,3.910007887E-3,5.103402138E-1,5.103585558E-1
2.375474166E-1,4.706429318E-4,4.867147654E-3,6.194757819E-1,6.194950807E-1
2.475104167E-1,7.256377488E-3,2.605339326E-2,6.946075559E-1,6.951338655E-1
2.574734166E-1,4.134140909E-5,7.584904321E-3,7.997720242E-1,7.998079914E-1
2.674364166E-1,3.185159527E-3,1.770761795E-2,9.312883615E-1,9.314621395E-1
2.773994167E-1,-3.755304497E-3,1.413898170E-2,1.088009238E0,1.088107585E0
2.873624166E-1,2.214891836E-3,2.470948733E-2,1.256565809E0,1.256810685E0
2.973254166E-1,1.140972227E-2,5.990182608E-2,1.479636431E0,1.480892426E0
3.072874167E-1,-6.921881344E-3,1.348506194E-2,1.697119474E0,1.697187164E0
3.172504166E-1,5.708958954E-3,5.671295896E-2,1.918200135E0,1.919046823E0
3.272134166E-1,-9.632205591E-3,2.006488480E-2,2.109802485E0,2.109919881E0
3.371764167E-1,-2.341768704E-4,4.577957094E-2,2.439770460E0,2.440199935E0
3.471394166E-1,2.255178429E-2,1.151121706E-1,2.787711143E0,2.790177918E0
3.571024166E-1,-2.297974750E-2,-1.151527464E-2,3.061565161E0,3.061673056E0
3.670654166E-1,3.180757165E-2,1.497182101E-1,3.421542883E0,3.424964666E0
3.770274166E-1,-1.698766463E-2,2.328729816E-2,3.571777344E0,3.571893654E0
3.869904167E-1,5.001210142E-3,9.418893605E-2,3.787901163E0,3.789075321E0
3.969534166E-1,6.625738461E-3,1.027904153E-1,3.991201878E0,3.992530801E0
4.069164166E-1,-3.865737095E-2,-4.001713544E-2,4.178710938E0,4.179081342E0
4.168794167E-1,-2.123326529E-3,6.000933424E-2,4.440433025E0,4.440839006E0
4.268424166E-1,5.915934686E-3,1.033036932E-1,4.565283298E0,4.566455764E0
4.368054166E-1,-5.707165226E-3,9.043795615E-2,4.648329258E0,4.649212459E0
4.467674167E-1,-3.296188638E-2,-1.142494008E-2,4.849699974E0,4.849825446E0
4.567304166E-1,8.427366614E-3,4.715421796E-2,5.183287621E0,5.183508956E0
4.666934166E-1,4.362285510E-2,2.147834748E-1,5.503329277E0,5.507691715E0
4.766564167E-1,2.839064039E-2,1.777439564E-1,5.713383675E0,5.716218326E0
4.866194166E-1,1.377748884E-2,1.303023398E-1,5.868956566E0,5.870419039E0
4.965824166E-1,-1.567334495E-2,4.156713188E-2,6.037694931E0,6.037858359E0
5.065444167E-1,-1.581467222E-3,7.411687076E-2,6.286709785E0,6.287146868E0
5.165074166E-1,7.048506290E-3,1.008922905E-1,6.546227455E0,6.547008693E0
5.264704166E-1,1.490277052E-2,1.141304076E-1,6.729861259E0,6.730845446E0
