"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.448708332E-3,-6.070376374E-3,2.142720623E-3,-3.595356829E-4,6.447479112E-3
1.341170829E-2,4.640590865E-3,1.180254389E-3,1.932380605E-3,5.163543241E-3
2.337470825E-2,1.036185957E-2,1.955766929E-3,2.378424164E-3,1.080972061E-2
3.333670832E-2,9.776497260E-3,-5.262992345E-4,1.773216063E-4,9.792258805E-3
4.329970828E-2,4.768282641E-3,5.653547123E-4,7.825822104E-4,4.865036506E-3
5.326270824E-2,-3.174062353E-3,-1.358555164E-4,8.041537367E-4,3.277162152E-3
6.322570832E-2,-1.140522119E-2,2.606648486E-4,-2.922574058E-4,1.141194247E-2
7.318770827E-2,-1.331683807E-2,8.356412873E-4,1.136794803E-3,1.339136942E-2
8.315070823E-2,-9.731320664E-3,8.621478919E-4,-8.120560087E-4,9.803128879E-3
9.311370831E-2,-5.550689995E-3,-5.531124771E-5,8.886386640E-4,5.621645438E-3
1.030767083E-1,-3.266148269E-6,-1.305414946E-3,-1.651165541E-3,2.104867334E-3
1.130387083E-1,4.353931639E-3,-1.013798756E-3,3.318242962E-4,4.482701864E-3
1.230017083E-1,1.260333881E-2,-2.353568561E-4,2.763918601E-4,1.260856591E-2
1.329647083E-1,1.462973841E-2,8.703877684E-4,1.890001236E-3,1.477697281E-2
1.429277083E-1,1.665089279E-2,-1.432047575E-3,7.665880257E-4,1.672993270E-2
1.528897083E-1,1.690469123E-2,6.654581521E-4,2.464726567E-4,1.691957946E-2
1.628527083E-1,1.321073063E-2,7.251675706E-4,-8.421393577E-4,1.325739305E-2
1.728157083E-1,8.072961122E-3,1.568857115E-3,3.297533840E-5,8.224056255E-3
1.827787083E-1,-1.154041383E-3,-7.554794429E-4,5.557514960E-4,1.487084540E-3
1.927407082E-1,-5.926426500E-3,-3.136601299E-5,7.336506387E-4,5.971746658E-3
2.027040833E-1,-7.023219485E-3,9.152467828E-4,7.044902304E-4,7.117555415E-3
2.126670833E-1,-5.343830679E-3,-3.793158103E-4,1.548137516E-4,5.359512487E-3
2.226300833E-1,4.162429832E-4,-1.196495723E-4,-6.949959788E-4,8.188978275E-4
2.325930833E-1,2.037309110E-3,-6.565428339E-4,2.653399715E-4,2.156868611E-3
2.425550832E-1,-2.209101105E-3,-4.996825010E-4,-1.914237626E-3,2.965487478E-3
2.525180833E-1,-4.554014653E-3,2.092509530E-4,-8.130206261E-4,4.630749179E-3
2.624810833E-1,-3.345945152E-3,6.341817789E-5,-2.064390574E-3,3.932057892E-3
2.724440832E-1,1.347875921E-3,1.163569978E-3,-4.526455887E-4,1.837267705E-3
2.824060833E-1,-2.256678650E-3,6.668674760E-4,-2.061290434E-3,3.128294905E-3
2.923690833E-1,-4.529153928E-3,-5.405023694E-5,-7.369003724E-4,4.589028099E-3
3.023320833E-1,-2.923533320E-4,1.544371713E-3,6.304610288E-4,1.693527551E-3
3.122950833E-1,4.252597224E-3,1.051686937E-3,6.019652355E-4,4.421876379E-3
3.222570833E-1,8.463099599E-3,1.082858071E-4,2.181697637E-4,8.466603728E-3
3.322200833E-1,1.113478281E-2,4.563608672E-4,1.345465425E-4,1.114494308E-2
