"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.343249973E-3,-3.910813015E-3,-1.194234937E-5,5.949143087E-4,3.955821545E-3
1.230525004E-2,3.337331349E-3,2.018689178E-3,-2.649208065E-3,4.714996278E-3
2.226825000E-2,6.976541132E-3,-8.973549120E-5,-2.112581395E-3,7.289936815E-3
3.223124996E-2,1.130643301E-2,-7.217447273E-4,-2.463129349E-4,1.133212305E-2
4.219325003E-2,8.932757191E-3,-1.047449303E-3,-6.812072825E-4,9.019719754E-3
5.215624999E-2,6.032616831E-3,-6.137583405E-4,2.872886136E-3,6.709891198E-3
6.211825006E-2,2.498069778E-3,-9.509144584E-4,-1.236105105E-3,2.944918803E-3
7.208125002E-2,-2.421587938E-3,1.509066904E-3,9.820981650E-4,3.017596373E-3
8.204424998E-2,-5.375565961E-3,1.704276772E-3,9.184486698E-4,5.713564271E-3
9.200625005E-2,-5.575961433E-3,7.756957784E-4,-1.287898049E-4,5.631131029E-3
1.019692500E-1,-8.462294936E-3,3.348842030E-3,3.432921832E-3,9.726773917E-3
1.119322500E-1,-4.602281842E-3,1.952203223E-3,2.278534463E-3,5.493979876E-3
1.218942500E-1,-5.465412978E-3,-1.431722194E-4,8.417591453E-4,5.531708214E-3
1.318572500E-1,-1.006933115E-2,-9.134802967E-4,-1.668860670E-3,1.024748613E-2
1.418202501E-1,-1.081981044E-2,-2.425623126E-3,-1.533305738E-3,1.119388101E-2
1.517822500E-1,-1.299405657E-2,-3.399510402E-3,-2.676860429E-3,1.369553792E-2
1.617452500E-1,-1.274291985E-2,-7.890799316E-4,-1.847818494E-3,1.290035219E-2
1.717072501E-1,-1.228257269E-2,-1.239518169E-4,-1.586352242E-3,1.238521172E-2
1.816702500E-1,-9.217273444E-3,1.474211225E-3,-9.855432436E-4,9.386305128E-3
1.916332500E-1,-8.373177610E-3,-1.716729254E-3,-1.865775790E-3,8.748621716E-3
2.015952501E-1,-3.728358774E-3,-1.017116942E-3,-1.871900866E-3,4.294088829E-3
2.115582500E-1,2.736228285E-3,5.271679256E-4,-3.130475525E-4,2.804077392E-3
2.215212500E-1,8.239118382E-3,-2.068881411E-3,-1.593761845E-3,8.643113954E-3
2.314832500E-1,1.307036076E-2,-3.337053582E-3,-1.679488691E-3,1.359378311E-2
2.414462500E-1,1.337076537E-2,-3.726940602E-3,3.037673887E-4,1.388379370E-2
2.514082501E-1,7.773567922E-3,-4.067425616E-3,1.391713042E-3,8.883083619E-3
