"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.682110416E-1,-4.670806113E-5,-4.573143907E-3,2.147916198E-2,2.196065177E-2
6.781730417E-1,-2.777178471E-3,-4.394767284E-3,2.297487974E-2,2.355571690E-2
6.881350416E-1,-4.094684066E-4,-1.291202260E-2,2.312456846E-2,2.648836836E-2
6.980970417E-1,1.824326715E-3,-9.790029712E-3,2.117919981E-2,2.340366114E-2
7.080590416E-1,1.155606243E-3,-1.620451665E-2,8.904139996E-3,1.852580618E-2
7.180210417E-1,1.474284635E-2,-1.473481899E-2,-6.753534079E-4,2.085479589E-2
7.279830417E-1,1.959011389E-2,-6.275250111E-3,8.158620000E-3,2.212949178E-2
7.379450416E-1,3.467149918E-3,8.292082697E-4,8.160374165E-3,8.905078406E-3
7.479070417E-1,2.464398572E-2,-2.666330338E-3,1.010808170E-2,2.676954735E-2
7.578690416E-1,8.965395290E-3,7.356948461E-3,2.043660343E-2,2.349803743E-2
7.678310417E-1,1.785319506E-2,-3.730815947E-3,2.777135074E-2,3.322504302E-2
7.777930417E-1,1.017700347E-2,-5.359503049E-3,5.616835356E-3,1.280017625E-2
7.877550416E-1,1.236395691E-2,-1.391399782E-3,2.133239686E-2,2.469563888E-2
7.977170417E-1,6.719920583E-3,6.377119571E-5,1.549512148E-2,1.688964739E-2
8.076790416E-1,-2.964211714E-3,-1.759756096E-3,7.562788725E-3,8.311381708E-3
8.176410417E-1,1.524684322E-4,-1.106333401E-2,1.325154483E-2,1.726337298E-2
8.276030417E-1,7.709250057E-3,3.712981939E-5,5.916212797E-3,9.717792389E-3
8.375650416E-1,-5.454523730E-3,6.754630432E-3,2.343037784E-2,2.498718606E-2
8.475270417E-1,-2.419656637E-3,-6.138662808E-4,2.567278504E-2,2.579386481E-2
8.574890416E-1,1.131091220E-2,5.893335566E-3,2.252698302E-2,2.588692919E-2
8.674510417E-1,1.107125288E-2,-1.737152953E-3,9.718072414E-4,1.124876660E-2
8.774130417E-1,3.385095896E-3,-8.205141909E-3,1.100212097E-2,1.413612018E-2
8.873750416E-1,1.421335471E-2,-1.161580453E-2,8.610609770E-3,2.027532903E-2
8.973370417E-1,2.484678589E-2,-1.327071274E-2,6.514967680E-3,2.891227057E-2
9.072990416E-1,1.698144829E-2,-4.627943281E-3,1.654528141E-2,2.415644391E-2
9.172610417E-1,1.932861088E-2,-1.459958386E-3,5.318042636E-3,2.009995658E-2
9.272230417E-1,9.599634320E-3,7.883508503E-4,1.684407413E-2,1.940353858E-2
9.371840417E-1,-9.723451396E-4,6.659010183E-3,6.814345121E-3,9.577221472E-3
9.471460417E-1,5.997107655E-3,-4.910948519E-3,1.983843327E-2,2.129897063E-2
9.571080416E-1,3.401334481E-3,1.217118038E-2,1.070683658E-2,1.656330455E-2
9.670700417E-1,4.749901125E-3,-2.584067322E-3,2.268427312E-2,2.331984588E-2
9.770320416E-1,-4.036110268E-3,-7.980535738E-3,1.909174383E-2,2.108254774E-2
9.869940417E-1,-5.189860705E-5,-1.063003706E-2,1.519866765E-2,1.854723374E-2
9.969560417E-1,-3.341960118E-3,-5.116733965E-3,1.894147038E-2,1.990298883E-2
1.006918042E0,3.042161266E-3,-1.366976693E-2,1.519983709E-2,2.066766365E-2
1.016880042E0,-1.493597006E-3,-2.389968999E-2,2.747606635E-2,3.644667661E-2
1.026842042E0,1.204249138E-2,-3.792156894E-3,1.400291204E-2,1.885427268E-2
1.036804042E0,1.661944169E-2,-7.495582290E-3,1.699551702E-2,2.492463028E-2
1.046766042E0,5.566832526E-3,-5.107999686E-3,1.909174383E-2,2.053231520E-2
1.056728042E0,-8.047367586E-4,-3.529562093E-3,3.046574771E-2,3.068007812E-2
1.066690042E0,2.291456434E-2,-3.081044108E-3,1.025777042E-2,2.529410891E-2
1.076652042E0,1.149394832E-2,8.447582088E-4,2.357889712E-2,2.624478717E-2
1.086614042E0,7.509012613E-3,1.621414628E-3,1.534543276E-2,1.716090214E-2
